common_count,discipline complementarity score
137,0.008101236
226,0.008100649
9,0.008093525
5,0.008090615
31,0.00808977
48,0.008088979
5,0.008077544
44,0.008049762
151,0.008046896
34,0.008041627
13,0.008034611
26,0.008034611
6,0.00802139
47,0.008020478
134,0.008008606
9473,0.008006748
83,0.008003086
1134,0.008002428
449,0.007988613
5002,0.007964461
237,0.007959965
3,0.00795756
4,0.007952286
9359,0.007943783
2,0.007905138
3064,0.007904608
740,0.007904041
17,0.007903301
70,0.00789355
16,0.007893439
10,0.007880221
24,0.007874016
169,0.007850971
200,0.007844368
4,0.007843137
11,0.007834758
16,0.00783162
1,0.0078125
156,0.007793376
766,0.007789144
3583,0.007787556
189,0.00777234
4,0.00776699
593,0.007765846
33,0.007761054
23,0.007754552
445,0.007750453
53,0.007734968
10,0.007733952
205,0.007733806
5,0.007727975
16,0.007725736
157,0.007719919
67,0.007716227
10,0.0077101
56,0.007703948
13,0.007692308
1,0.007692308
106,0.00769175
668,0.007691422
875,0.007688725
9064,0.007685199
441,0.007673302
10,0.007668712
27,0.007661748
707,0.007651764
1011,0.007648429
3621,0.007643482
7,0.007633588
438,0.007623888
63,0.007606858
414,0.007606239
6,0.007604563
101,0.007601987
815,0.007596164
1069,0.007594595
1282,0.007589302
4773,0.00758475
5,0.007575758
208,0.007573275
3447,0.007564585
24,0.007561437
929,0.00754947
189,0.007545513
90,0.007545272
1769,0.007541362
6,0.007537688
488,0.007534352
55,0.007518797
3,0.007518797
107,0.007514045
588,0.007505744
259,0.007503984
3484,0.007498666
144,0.007494145
7,0.007486631
31,0.00746988
1,0.007462687
1913,0.007459078
15,0.007458976
9,0.007456504
1256,0.007453696
931,0.007447821
48,0.007446478
8759,0.007433597
13,0.007432819
64,0.007432354
3451,0.007411623
18,0.007410457
1,0.007407407
23,0.007402639
52,0.007402135
3,0.007389163
192,0.007388025
31,0.007387989
132,0.007384615
549,0.007375463
4702,0.007372702
27,0.007371007
34,0.007349762
10,0.007347539
40,0.007343492
92,0.007337108
366,0.007330262
2,0.007326007
25,0.007309942
31,0.007306151
16,0.00729927
1102,0.007294101
111,0.007293994
1103,0.007284326
107,0.007281388
256,0.007278517
25,0.00727802
111,0.007275826
183,0.007274028
51,0.007272209
7,0.007268951
1052,0.007265996
15,0.007263923
15,0.007260407
37,0.007259172
21,0.007258901
164,0.007258243
1030,0.007257354
675,0.007252606
32,0.007234908
3,0.007228916
32,0.007218588
9,0.007217322
